"","household_key","BASKET_ID","PRODUCT_ID","QUANTITY","SALES_VALUE","RETAIL_DISC","COUPON_DISC","COUPON_MATCH_DISC"
"70237",1176,27771857605,208720,1,0.8,-0.87,0,0
"70238",1176,27771857605,210350,1,0.8,-0.2,0,0
"70239",1176,27771857605,216901,1,0.8,-0.2,0,0
"70240",1176,27771857605,217731,1,0.8,-0.87,0,0
"70241",1176,27771857605,234687,2,4,-0.38,0,0
"70242",1176,27771857605,252785,1,1.25,-0.04,0,0
"70243",1176,27771857605,254820,1,1.25,-0.04,0,0
"70244",1176,27771857605,6569871,2,1.6,-3.78,0,0
"70245",1176,27771857605,6569886,3,2.4,-5.67,0,0
"70246",1176,27771857605,6570496,1,0.8,-1.89,0,0
"70247",1176,27771857605,6570756,3,2.4,-5.67,0,0
"70248",1176,27771857605,9400799,1,1.67,-1.32,0,0
"70249",1176,27771857605,9400840,1,1.67,-1.32,0,0
"70250",1176,27771857605,9494383,1,2.5,-0.99,0,0
"70251",1176,27771857605,10212300,1,0.99,0,0,0
"70252",1176,27771857605,10212301,2,1.98,0,0,0
"70253",1176,27771857614,6754452,1,9.99,-1,0,0
"86074",1176,27855955496,34187,1,14.99,-5,0,0
"88830",1176,27867995651,9531287,1,2.24,-0.75,0,0
"133833",2182,28071976389,42197,1,0.69,-0.16,0,0
"133834",2182,28071976389,46058,1,2.5,-1.09,0,0
"133835",2182,28071976389,58561,1,2.25,0,0,0
"133836",2182,28071976389,101922,2,3.14,-3.16,0,0
"133837",2182,28071976389,121503,1,0.67,-0.16,0,0
"133839",2182,28071976389,209999,1,5.15,0,0,0
"133840",2182,28071976389,329764,1,1,-0.29,0,0
"133841",2182,28071976389,343253,1,1.09,0,0,0
"133842",2182,28071976389,413025,1,3.49,0,0,0
"133843",2182,28071976389,421719,1,1.99,0,0,0
"133844",2182,28071976389,9807328,1,2.99,0,0,0
"133845",2182,28071976389,9808529,1,1,-0.5,0,0
"150068",2182,28143956007,45507,1,0.69,0,0,0
"150069",2182,28143956007,46352,1,3.5,-0.39,0,0
"150070",2182,28143956007,51766,1,2.59,0,0,0
"150071",2182,28143956007,91614,1,1.79,0,0,0
"150072",2182,28143956007,121760,1,4.19,0,0,0
"150073",2182,28143956007,249766,1,2.99,-0.7,0,0
"150074",2182,28143956007,366758,1,6.25,0,0,0
"150075",2182,28143956007,431608,1,5.62,0,0,0
"150076",2182,28143956007,10185762,1,0.5,-0.69,0,0
"214205",2182,28349822785,50455,1,2.19,0,0,0
"214206",2182,28349822785,57390,1,1.19,0,0,0
"214207",2182,28349822785,366441,1,13.84,0,0,0
"214208",2182,28349822785,6472220,1,1.67,-0.92,0,0
"214209",2182,28349822785,9682312,1,2.99,0,0,0
"288704",2182,28680515735,57390,1,1.19,0,0,0
"288705",2182,28680515735,86652,1,2.39,0,0,0
"288706",2182,28680515735,326597,1,1.79,-0.2,0,0
"288707",2182,28680515735,10124702,1,3,-0.19,0,0
"397859",2182,29144608214,31534,1,1.92,0,0,0
"397860",2182,29144608214,45507,1,0.69,0,0,0
"397861",2182,29144608214,62750,1,0.99,-0.2,0,0
"397862",2182,29144608214,72374,1,4.99,-1.4,0,0
"397863",2182,29144608214,83822,1,2.59,0,0,0
"397864",2182,29144608214,348386,1,7.82,0,0,0
"412341",2182,29186005963,44599,1,0.95,0,0,0
"412342",2182,29186005963,50455,1,2.19,0,0,0
"412343",2182,29186005963,52240,5,5.45,0,0,0
"412344",2182,29186005963,57313,1,1.19,0,0,0
"412345",2182,29186005963,65291,1,0.99,-0.4,0,0
"412346",2182,29186005963,89509,1,1.99,0,0,0
"412347",2182,29186005963,121018,1,3.89,0,0,0
"412348",2182,29186005963,342096,1,1,-0.09,0,0
"412349",2182,29186005963,389118,1,2.74,-1.1,0,0
"412350",2182,29186005963,414464,1,3.51,0,0,0
"412351",2182,29186005963,5722204,3,3,-0.75,0,0
"412352",2182,29186005963,6569871,1,1.99,-0.7,0,0
"444097",2182,29302837658,31534,1,1.92,0,0,0
"444098",2182,29302837658,45507,1,0.69,0,0,0
"444099",2182,29302837658,45661,1,1.5,-0.79,0,0
"444100",2182,29302837658,61748,1,2.95,0,0,0
"444101",2182,29302837658,106561,1,1.19,0,0,0
"444102",2182,29302837658,168266,1,2,-1.85,0,0
"444103",2182,29302837658,301126,1,1.69,0,0,0
"444104",2182,29302837658,326597,1,1.99,0,0,0
"444105",2182,29302837658,412400,1,2.69,-2.7,0,0
"444106",2182,29302837658,9807181,1,3.78,0,0,0
"493295",2182,29513422261,45661,1,1.67,-0.62,0,0
"493296",2182,29513422261,49278,1,0.4,-0.1,0,0
"493297",2182,29513422261,54411,1,0.58,0,0,0
"493298",2182,29513422261,69982,2,3.34,-2.24,0,0
"493299",2182,29513422261,73207,2,2.98,0,0,0
"493300",2182,29513422261,74230,1,0.99,0,0,0
"493301",2182,29513422261,108058,1,1.19,0,0,0
"493302",2182,29513422261,121760,1,3.47,0,0,0
"493303",2182,29513422261,137674,1,2.99,-0.6,0,0
"493304",2182,29513422261,159721,1,2.09,0,0,0
"493305",2182,29513422261,165885,1,1.39,0,0,0
"493306",2182,29513422261,334648,1,2.5,-0.99,0,0
"493307",2182,29513422261,9807181,1,3.74,0,0,0
"493308",2182,29513422261,12325406,1,6.27,0,0,0
"496704",284,29531116865,27658,2,1.58,-0.4,0,0
"496705",284,29531116865,38085,2,3.34,-0.16,0,0
"496706",284,29531116865,44161,1,1.99,-1,0,0
"496707",284,29531116865,46392,1,2.62,0,0,0
"496708",284,29531116865,55201,1,9.99,0,0,0
"496709",284,29531116865,72374,1,5.99,-0.4,0,0
"496710",284,29531116865,89865,1,0.5,-0.15,0,0
"496711",284,29531116865,142450,1,6.23,-1.04,0,0
"496712",284,29531116865,407547,1,1.79,-0.2,0,0
"496713",284,29531116865,10124702,1,3,-0.19,0,0
"534071",2182,29776315965,31681,1,2.99,-1.2,0,0
"534072",2182,29776315965,57792,1,2.99,0,0,0
"534073",2182,29776315965,404022,2,17.98,0,0,0
"534074",2182,29776317638,27158,1,2.75,0,0,0
"534075",2182,29776317638,221474,1,7.69,0,0,0
"534076",2182,29776317638,9400535,1,2,-0.14,0,0
"534077",2182,29776317638,10124702,1,3,-0.19,0,0
"541962",2182,29814087567,41332,1,2.99,0,0,0
"541963",2182,29814087567,44599,4,3.8,0,0,0
"541964",2182,29814087567,45607,2,1.09,-0.17,0,0
"541965",2182,29814087567,52240,5,4.45,-1,0,0
"541966",2182,29814087567,165885,1,1.39,0,0,0
"541967",2182,29814087567,410713,1,3.71,0,0,0
"541968",2182,29814087567,431608,1,6.06,0,0,0
"541969",2182,29814087567,8026545,1,1.6,0,0,0
"541970",2182,29814087567,10287524,1,2.99,0,0,0
"542162",2182,29872791599,27158,1,2.75,0,0,0
"542163",2182,29872791599,62750,1,1.19,0,0,0
"542164",2182,29872791599,244960,1,2.98,-1.01,0,0
"542165",2182,29872791599,255521,1,2.98,-1.01,0,0
"542166",2182,29872791599,410713,2,7.6,0,0,0
"542167",2182,29872791599,6607986,1,1.29,-0.1,0,0
"622301",2182,30178790946,27158,1,2.75,0,0,0
"622302",2182,30178790946,35510,1,1.03,0,0,0
"622303",2182,30178790946,116901,1,1.29,0,0,0
"622304",2182,30178790946,354984,1,1.69,0,0,0
"622305",2182,30178790946,6472672,1,3.99,0,0,0
"672268",2182,30541077983,37756,1,2.48,-1.71,0,0
"672269",2182,30541077983,63480,1,2.5,-1.94,0,0
"672270",2182,30541077983,100512,1,2.39,0,0,0
"672271",2182,30541077983,137674,1,3.59,0,0,0
"672272",2182,30541077983,385240,1,1.79,0,0,0
"672273",2182,30541077983,6607986,1,1.29,-0.1,0,0
"672281",284,30541880783,75497,1,2.69,0,0,0
"672282",284,30541880783,134159,1,4.97,-1.22,0,0
"687961",2182,30590802826,27479,1,0.88,-0.11,0,0
"687962",2182,30590802826,45372,1,0.89,0,0,0
"687963",2182,30590802826,54243,1,1.69,-0.2,0,0
"687964",2182,30590802826,80670,1,1.39,0,0,0
"687965",2182,30590802826,118681,1,4.19,-1,0,0
"687966",2182,30590802826,321216,1,2.09,0,0,0
"687967",2182,30590802826,326597,1,2.09,0,0,0
"687968",2182,30590802826,338451,1,1.45,0,0,0
"687969",2182,30590802826,357169,1,2.5,-0.49,0,0
"687970",2182,30590802826,407430,1,3.47,0,0,0
"687971",2182,30590802826,429541,1,0.79,0,0,0
"728680",2182,30754188706,27021,2,3.6,0,0,0
"728681",2182,30754188706,27158,1,2.34,-0.51,0,0
"728682",2182,30754188706,28272,1,1.19,0,0,0
"728683",2182,30754188706,72013,3,3,-1.35,0,0
"728684",2182,30754188706,108404,5,5,-2.25,0,0
"728685",2182,30754188706,260371,2,3.32,-1.26,0,0
"728686",2182,30754188706,359698,1,1.79,0,0,0
"728687",2182,30754188706,373990,1,4.99,-1,0,0
"782258",2182,30912300033,35331,1,0.5,0,0,0
"782259",2182,30912300033,42388,2,0.8,-0.2,0,0
"782260",2182,30912300033,49927,1,0.89,0,0,0
"782261",2182,30912300033,52240,5,4,-1.45,0,0
"782262",2182,30912300033,57313,1,1.19,0,0,0
"782263",2182,30912300033,69982,2,4.98,0,0,0
"782264",2182,30912300033,70153,1,1.09,0,0,0
"782265",2182,30912300033,9493274,1,1.98,0,0,0
"782266",2182,30912300033,12325406,1,5.38,0,0,0
"791142",2182,30945992558,27158,1,2.85,0,0,0
"791143",2182,30945992558,43020,1,2.79,0,0,0
"791144",2182,30945992558,51202,1,2.15,0,0,0
"791145",2182,30945992558,52240,5,4,-1.45,0,0
"791146",2182,30945992558,72374,1,5.99,-0.4,0,0
"791147",2182,30945992558,96779,1,3.19,0,0,0
"791148",2182,30945992558,137674,1,3.39,0,0,0
"791149",2182,30945992558,247515,1,1.29,0,0,0
"791150",2182,30945992558,6983017,1,2,-0.79,0,0
"791151",2182,30945992558,9493274,1,1.98,0,0,0
"870850",2182,31204545817,32124,1,3.34,-0.65,0,0
"870851",2182,31204545817,35331,1,0.5,0,0,0
"870852",2182,31204545817,35510,1,1.03,0,0,0
"870853",2182,31204545817,45661,1,1.89,-0.4,0,0
"870854",2182,31204545817,49927,1,0.89,0,0,0
"870855",2182,31204545817,52567,1,2.15,0,0,0
"870856",2182,31204545817,57570,1,0.8,-0.29,0,0
"870857",2182,31204545817,60924,1,1.89,0,0,0
"870858",2182,31204545817,73207,1,1.49,0,0,0
"870859",2182,31204545817,121760,1,3.47,0,0,0
"870860",2182,31204545817,244960,1,2.98,-1.01,0,0
"870861",2182,31204545817,267471,2,1.18,0,0,0
"870862",2182,31204545817,6472672,1,3.99,0,0,0
"870863",2182,31204545817,9807181,2,6.5,0,0,0
"916618",2182,31363375004,79289,1,2.09,0,0,0
"916619",2182,31363375004,85737,1,3,-0.39,0,0
"916620",2182,31363375004,86652,1,2.59,0,0,0
"916621",2182,31363375004,165885,1,1.39,0,0,0
"916622",2182,31363375004,250043,1,1.89,-0.5,0,0
"916623",2182,31363375004,284161,1,3.49,-1.5,0,0
"916624",2182,31363375004,6607986,1,1.39,0,0,0
"916625",2182,31363375004,7190161,1,5.69,0,0,0
"934009",2182,31427002805,34873,1,1.25,-0.72,0,0
"934010",2182,31427002805,50455,1,2.19,0,0,0
"934011",2182,31427002805,51202,1,2.29,0,0,0
"934012",2182,31427002805,58868,1,1.89,-0.4,0,0
"934013",2182,31427002805,60152,1,0.59,-0.1,0,0
"934014",2182,31427002805,126096,1,1.25,-0.48,0,0
"934015",2182,31427002805,132074,1,2.08,0,0,0
"934016",2182,31427002805,359096,1,2.94,-1.18,0,0
"934017",2182,31427002805,408450,1,8.63,0,0,0
"934018",2182,31427002805,9493274,1,1.98,0,0,0
"934019",2182,31427002805,12600159,1,2,-1.59,0,0
"962178",2182,31544502476,49927,1,0.89,0,0,0
"962179",2182,31544502476,50032,2,1.58,0,0,0
"962180",2182,31544502476,54411,2,1.16,0,0,0
"962181",2182,31544502476,73207,1,1.49,0,0,0
"962182",2182,31544502476,90882,2,1.32,-0.66,0,0
"962183",2182,31544502476,225225,1,0.5,0,0,0
"962184",2182,31544502476,250043,1,2.39,0,0,0
"962185",2182,31544502476,9807181,1,3.64,0,0,0
"979085",2182,31634832799,49165,1,3.65,0,0,0
"979086",2182,31634832799,66638,1,4.49,0,0,0
"979087",2182,31634832799,93003,1,11.99,0,0,0
"979088",2182,31634832799,121195,1,1.9,0,0,0
"1009850",2182,31753308790,93003,1,11.99,0,0,0
"1026279",2182,31806687698,34703,1,1.39,0,0,0
"1026280",2182,31806687698,47996,1,3,-1.19,0,0
"1026281",2182,31806687698,51091,2,2,0,0,0
"1026282",2182,31806687698,84794,1,1,-0.09,0,0
"1026283",2182,31806687698,93402,3,3,-0.27,0,0
"1026284",2182,31806687698,199881,1,1,0,0,0
"1026285",2182,31806687698,385240,1,1.25,-0.54,0,0
"1058073",2182,31911155580,32124,1,3.34,-0.65,0,0
"1058074",2182,31911155580,35331,1,0.5,0,0,0
"1058075",2182,31911155580,64842,1,0.41,0,0,0
"1058076",2182,31911155580,66392,1,3.33,-0.66,0,0
"1058077",2182,31911155580,69982,2,3.34,-1.64,0,0
"1058078",2182,31911155580,73207,1,1.49,0,0,0
"1058079",2182,31911155580,81724,1,0.99,0,0,0
"1058080",2182,31911155580,9807181,1,3.29,0,0,0
"1058081",2182,31911155580,10464236,1,0.5,-0.69,0,0
"1105909",2182,32055927313,34873,1,1.25,-0.72,0,0
"1105910",2182,32055927313,404022,1,8.99,0,0,0
"1105911",2182,32055927313,412338,1,2.89,0,0,0
"1105912",2182,32055927313,6517506,2,5,-2.98,0,0
"1160134",2182,32209327507,32247,1,1.29,0,0,0
"1160135",2182,32209327507,35331,1,0.5,0,0,0
"1160136",2182,32209327507,35510,1,1.03,0,0,0
"1160137",2182,32209327507,46154,2,3.56,0,0,0
"1160138",2182,32209327507,50032,1,0.79,0,0,0
"1160139",2182,32209327507,52240,3,3.27,0,0,0
"1160140",2182,32209327507,73207,1,1.49,0,0,0
"1160141",2182,32209327507,395234,1,2,-0.59,0,0
"1160142",2182,32209327507,404431,1,0.6,-0.05,0,0
"1160143",2182,32209327507,9807181,1,3.71,0,0,0
"1198334",2182,32416696970,73207,1,1.49,0,0,0
"1198335",2182,32416696970,126749,1,1.19,-0.16,0,0
"1198336",2182,32416696970,329764,1,1,-0.42,0,0
"1198337",2182,32416696970,10308140,1,3.49,0,0,0
"1198338",2182,32416696970,10309250,1,3.49,0,0,0
"1216875",2182,32481476487,60152,1,0.59,-0.1,0,0
"1220480",2182,32496221577,66367,1,1.49,0,0,0
"1220481",2182,32496221577,100896,1,2.5,-0.69,0,0
"1220482",2182,32496221577,107467,1,0.99,-0.1,0,0
"1220483",2182,32496221577,281136,1,6.99,0,0,0
"1220484",2182,32496221577,359096,1,4.12,0,0,0
"1276749",276,32718722056,40479,1,2.5,-0.29,0,0
"1276750",276,32718722056,45878,1,3.99,0,0,0
"1276751",276,32718722056,79736,1,1.79,-0.1,0,0
"1276752",276,32718722056,95919,1,1.25,-0.14,0,0
"1276753",276,32718722056,101414,1,5.49,0,0,0
"1276754",276,32718722056,103705,1,1.99,0,0,0
"1276755",276,32718722056,230509,1,3.09,0,0,0
"1276756",276,32718722056,257593,1,3.09,0,0,0
"1276757",276,32718722056,330921,1,1.88,-0.21,0,0
"1276758",276,32718722056,370342,1,4.79,0,0,0
"1276759",276,32718722056,413715,1,1.79,0,0,0
"1276760",276,32718722056,10186317,1,1.79,0,0,0
"1276761",276,32718722056,13218088,1,1.31,0,0,0
"1280043",276,32733326941,57792,1,2.99,0,0,0
"1280044",276,32733326941,81184,1,1.99,0,0,0
"1280045",276,32733326941,208463,1,15.48,0,0,0
"1280046",276,32733326941,6537231,1,3.17,0,0,0
"1280047",276,32733326941,13078140,1,6.99,-1,0,0
"1280048",276,32733327135,28041,1,5.99,-4,0,0
"1280049",276,32733327135,13216921,1,9.9,-4.96,0,0
"1280050",276,32733327440,45518,2,0.69,0,0,0
"1280051",276,32733327440,81184,1,1.99,0,0,0
"1309012",2182,32826516981,35331,1,0.5,0,0,0
"1309013",2182,32826516981,35510,1,1.03,0,0,0
"1309014",2182,32826516981,50032,1,0.79,0,0,0
"1309015",2182,32826516981,52641,3,3.75,-1.59,0,0
"1309016",2182,32826516981,73207,1,1.49,0,0,0
"1309017",2182,32826516981,76246,1,0.75,0,0,0
"1309018",2182,32826516981,279994,1,4.45,0,0,0
"1309019",2182,32826516981,326597,1,1.88,-0.21,0,0
"1309020",2182,32826516981,12325406,1,5.68,0,0,0
"1414665",2182,33170877635,30177,1,2.5,-0.99,0,0
"1414666",2182,33170877635,32916,1,1.97,0,0,0
"1414667",2182,33170877635,33247,1,3.19,0,0,0
"1414668",2182,33170877635,57462,5,1.9,0,0,0
"1414669",2182,33170877635,164764,1,1.74,-1.75,0,0
"1414670",2182,33170877635,339470,1,1.59,0,0,0
"1414671",2182,33170877635,359707,1,3.15,0,0,0
"1414672",2182,33170877635,12325108,1,2.69,0,0,0
"1449895",2182,33299707627,41410,1,1,-0.89,0,0
"1449896",2182,33299707627,43995,1,0.59,0,0,0
"1449897",2182,33299707627,45465,1,0.59,0,0,0
"1449898",2182,33299707627,164764,1,3.49,0,0,0
"1499213",2182,33463597079,43995,1,0.59,0,0,0
"1499214",2182,33463597079,73207,1,1.49,0,0,0
"1499215",2182,33463597079,126096,1,1,-0.9,0,0
"1555824",2182,33682991526,35510,1,1.03,0,0,0
"1555825",2182,33682991526,54411,1,0.5,0,0,0
"1555826",2182,33682991526,64842,1,0.41,0,0,0
"1555827",2182,33682991526,73207,1,1.49,0,0,0
"1555828",2182,33682991526,76246,1,0.75,0,0,0
"1555829",2182,33682991526,6472672,1,3,-0.99,0,0
"1555830",2182,33682991526,12325443,1,4.98,-2,0,0
"1555831",2182,33682991526,13013785,1,2,-0.99,0,0
"1780788",1613,35003630682,41940,1,2.5,-1.15,0,0
"1780789",1613,35003630682,43020,2,5.36,0,0,0
"1780790",1613,35003630682,48023,1,1.69,0,0,0
"1780791",1613,35003630682,72570,1,2.49,0,0,0
"1780792",1613,35003630682,94977,1,2.89,0,0,0
"1780793",1613,35003630682,97960,1,1.89,0,0,0
"1780794",1613,35003630682,124888,1,0.59,0,0,0
"1780795",1613,35003630682,129005,1,2.99,-1.5,0,0
"1780796",1613,35003630682,130507,1,2.99,-0.66,0,0
"1780797",1613,35003630682,277125,1,1.85,0,0,0
"1780798",1613,35003630682,312652,1,1,0,0,0
"1780799",1613,35003630682,398060,1,3.49,0,0,0
"1780800",1613,35003630682,10463571,1,2.99,-0.8,0,0
"1780801",1613,35003632459,28513,1,1,0,0,0
"1780802",1613,35003632459,29252,5,5,0,0,0
"1780803",1613,35003632459,29825,2,2,0,0,0
"1780804",1613,35003632459,29996,1,1,0,0,0
"1780805",1613,35003632459,40868,1,1,0,0,0
"1780806",1613,35003632459,51129,3,1.59,0,0,0
"1780807",1613,35003632459,78767,1,5.99,0,0,0
"1780808",1613,35003632459,79442,5,5,0,0,0
"1780809",1613,35003632459,85989,5,5,0,0,0
"1780810",1613,35003632459,86316,1,1,-0.05,0,0
"1780811",1613,35003632459,88192,1,1,-0.05,0,0
"1780812",1613,35003632459,90909,3,5,-0.97,0,0
"1780813",1613,35003632459,92497,2,2,-0.1,0,0
"1780814",1613,35003632459,93402,2,2,-0.1,0,0
"1780815",1613,35003632459,123984,1,1.67,-0.32,0,0
"1780816",1613,35003632459,7189392,2,3.33,-0.65,0,0
"1799655",2182,35160422961,45465,1,0.59,0,0,0
"1799656",2182,35160422961,46041,1,1,-0.45,0,0
"1799657",2182,35160422961,57390,1,1.19,0,0,0
"1799658",2182,35160422961,339470,1,1.39,-0.2,0,0
"1799659",2182,35160422961,9807181,1,3.51,0,0,0
"1831087",2182,35488996868,66668,2,5,-2.98,0,0
"1831088",2182,35488996868,87243,1,1.84,0,0,0
"1831089",2182,35488996868,129005,1,3,-1.49,0,0
"1831090",2182,35488996868,279994,1,2.34,0,0,0
"1831091",2182,35488996868,359096,1,2.45,-0.98,0,0
"1831092",2182,35488996868,6608489,1,2.5,-0.69,0,0
"1831093",2182,35488996868,10462536,1,1.89,0,0,0
"1831094",2182,35488996868,12484686,1,7.48,0,0,0
"1831095",2182,35488996868,13118681,1,3.09,0,0,0
"1863141",1087,35704195124,34873,20,20,-19.4,0,0
"1863142",1087,35704195124,37913,1,1.39,0,0,0
"1863143",1087,35704195124,70302,5,12.5,-7.45,-2.5,0
"1863144",1087,35704195124,107837,1,1.39,0,0,0
"1863145",1087,35704195124,8025867,1,4.39,0,0,0
"1863146",1087,35704195127,66518,2,5,-2.98,0,0
"1863147",1087,35704195127,66668,3,7.5,-4.47,-2.5,0
"1883366",2182,35846342418,32124,2,5,-2.98,0,0
"1883367",2182,35846342418,34873,1,1,-0.97,0,0
"1883368",2182,35846342418,35331,1,0.5,0,0,0
"1883369",2182,35846342418,41044,1,1,-0.99,0,0
"1883370",2182,35846342418,47805,1,0.36,0,0,0
"1883371",2182,35846342418,49278,1,0.55,0,0,0
"1883372",2182,35846342418,50032,1,0.85,0,0,0
"1883373",2182,35846342418,66668,3,7.5,-4.47,-2.5,0
"1883374",2182,35846342418,73207,1,1.49,0,0,0
"1883375",2182,35846342418,80621,1,2.68,0,0,0
"1883376",2182,35846342418,107070,1,1.19,0,0,0
"1883377",2182,35846342418,279994,1,3.35,0,0,0
"1883378",2182,35846342418,9807181,1,3.49,0,0,0
"1925535",2182,40052888019,123260,1,2.65,0,0,0
"1925536",2182,40052888019,164764,1,1.74,-1.75,0,0
"1958511",2182,40138197783,126096,1,1.5,-0.4,0,0
"1958512",2182,40138197783,9529874,1,7.99,-2,0,0
"1962649",1613,40177228126,43020,1,2.75,0,0,0
"1962650",1613,40177228126,83237,1,1.5,-0.34,0,0
"1962651",1613,40177228126,96821,1,3.49,0,0,0
"1962652",1613,40177228126,192567,1,3.33,0,0,0
"1962653",1613,40177228126,269894,1,5.14,-1.72,0,0
"2009078",2182,40317578098,52633,1,1.5,-0.09,0,0
"2009079",2182,40317578098,73207,1,1.49,0,0,0
"2009080",2182,40317578098,12670070,1,0.99,-0.16,0,0
"2037144",2182,40414667703,33247,1,3.19,0,0,0
"2037145",2182,40414667703,43020,1,2.89,0,0,0
"2037146",2182,40414667703,43611,1,3.19,0,0,0
"2037147",2182,40414667703,44039,1,0.97,-0.48,0,0
"2037148",2182,40414667703,55319,1,2.2,-1.09,0,0
"2037149",2182,40414667703,91631,1,4.19,0,0,0
"2037150",2182,40414667703,145736,1,1.99,-0.5,0,0
"2037151",2182,40414667703,276370,1,3.49,0,0,0
"2037152",2182,40414667703,342096,1,1,-0.46,0,0
"2037153",2182,40414667703,432389,1,2.69,0,0,0
"2037154",2182,40414667703,6472672,1,3.5,-0.49,0,0
"2047217",1613,40439012272,34873,1,1.2,-0.79,0,0
"2047218",1613,40439012272,64410,1,0.89,0,0,0
"2047219",1613,40439012272,80472,1,2,-1.65,0,0
"2047220",1613,40439012272,84572,1,1.55,0,0,0
"2047221",1613,40439012272,86690,1,2.9,0,0,0
"2047222",1613,40439012272,384912,1,3.41,-1.14,0,0
"2054893",398,40463326886,155735,1,0.5,-0.49,0,0
"2054894",398,40463326886,429813,1,1,-0.59,0,0
"2054895",398,40463326886,15781102,1,1.88,-1.61,0,0
"2064995",2182,40499462973,35510,1,1.15,0,0,0
"2064996",2182,40499462973,42687,1,2,-0.55,0,0
"2064997",2182,40499462973,50032,1,0.85,0,0,0
"2064998",2182,40499462973,57390,1,1.29,0,0,0
"2064999",2182,40499462973,73207,1,1.49,0,0,0
"2065000",2182,40499462973,87200,1,1,-0.14,0,0
"2065001",2182,40499462973,88163,1,2.69,-1.64,0,0
"2065002",2182,40499462973,91225,1,0.99,-0.2,0,0
"2065003",2182,40499462973,101922,2,5,-0.98,0,0
"2065004",2182,40499462973,112154,1,3.69,0,0,0
"2065005",2182,40499462973,112553,1,1.09,0,0,0
"2065006",2182,40499462973,9531136,1,2.69,-1.64,0,0
"2065007",2182,40499462973,12325251,1,6.98,-1,0,0
"2065008",2182,40499462973,13523440,1,3.65,0,0,0
"2088815",2182,40568378159,50032,1,0.75,-0.1,0,0
"2088816",2182,40568378159,57390,1,1.29,0,0,0
"2088817",2182,40568378159,73207,1,1.49,0,0,0
"2088818",2182,40568378159,279994,1,3.53,0,0,0
"2159847",2182,40771486937,33522,1,2,-1.49,0,0
"2159848",2182,40771486937,279994,1,3.35,0,0,0
"2159849",2182,40771486937,10211670,1,2.5,0,0,0
"2300015",2182,41355173952,30356,1,2.39,-0.6,0,0
"2300016",2182,41355173952,129039,2,3.38,-0.32,0,0
"2396786",1613,41655820646,32392,1,1.39,0,0,0
"2396787",1613,41655820646,34873,1,1.99,0,0,0
"2396788",1613,41655820646,45507,1,0.69,0,0,0
"2396789",1613,41655820646,58612,1,2,-1.15,0,0
"2396790",1613,41655820646,78767,1,5.49,-1.3,0,0
"2396791",1613,41655820646,90607,1,3.19,0,0,0
"2396792",1613,41655820646,90887,1,1.79,-0.2,0,0
"2396793",1613,41655820646,106945,1,2,-0.73,0,0
"2396794",1613,41655820646,188978,1,2.49,-1.3,0,0
"2396795",1613,41655820646,201704,1,0.78,-0.22,0,0
